Date,return,h_t,conditional_sd,lambda_t,n_hat,xi_t,jump_prob_list
2001-01-03 00:00:00+08:00,-0.008238020855914673,1.9440666324805248e-05,0.004409157099129634,0.32550720802833644,0.7825764671230441,0.45706925909470764,0.6944802925331157
2001-01-04 00:00:00+08:00,0.04812840306897103,1.9974281869841384e-05,0.004469259655674683,0.5238119417565941,2.0028587908866466,1.4790468491300526,1.0
2001-01-05 00:00:00+08:00,0.03056331334494028,4.356358722877244e-05,0.006600271754160766,1.1567832211796363,1.5798807375268673,0.42309751634723103,0.9707164881611742
2001-01-08 00:00:00+08:00,-0.020416600865996327,5.245052150549112e-05,0.007242273227757368,1.3037529525131237,2.0376530459381628,0.733900093425039,0.9995902704510211
2001-01-09 00:00:00+08:00,0.03552049606607211,5.600561912101757e-05,0.007483690207445627,1.5790977683287384,1.8351889858362216,0.2560912175074832,0.9725564036304545
2001-01-10 00:00:00+08:00,0.011219948995970773,6.802475283146313e-05,0.00824771197553983,1.635017990505871,1.0080934772220949,-0.6269245132837762,0.6043154975686141
2001-01-11 00:00:00+08:00,-0.01250048585851127,6.814321920689636e-05,0.008254890623557429,1.3053698994289955,1.7316203707711915,0.42625047134219596,0.9684657301418401
2001-01-12 00:00:00+08:00,-0.005573080298419953,6.866551831479228e-05,0.008286465972583987,1.4471662183841538,1.5582478633879666,0.11108164500381279,0.8944124591822835
2001-01-15 00:00:00+08:00,0.0075118781464314985,6.785444236999197e-05,0.008237380795495129,1.4459805115707165,0.931205975214941,-0.5147745363557755,0.5858293449261762
2001-01-16 00:00:00+08:00,0.05131803201199533,6.727125605871999e-05,0.008201905635809277,1.1733121307537195,2.171820372691424,0.9985082419377043,0.9998598084057033
2001-01-17 00:00:00+08:00,0.018720265712863067,9.321698432563468e-05,0.00965489431975486,1.5692027303625373,1.0014872600346085,-0.5677154703279288,0.6082547159979688
2001-01-18 00:00:00+08:00,0.013420803148304117,9.514402619289931e-05,0.009754179934412698,1.2681406021145882,0.7793754460013079,-0.4887651561132803,0.518373977485529
2001-01-29 00:00:00+08:00,-0.02912243061154395,9.529038967474425e-05,0.0097616796543804,1.0145858868078506,1.9718190526899915,0.9572331658821409,0.9969017686860221
2001-01-30 00:00:00+08:00,0.019602173426824354,0.00010251549767726113,0.010124993712455387,1.3995565626343422,0.9143028165581379,-0.4852537460762043,0.5807171616423596
2001-01-31 00:00:00+08:00,0.024505114982775068,0.00010460903985549618,0.010227856073268541,1.1417398759214874,0.8737356421344351,-0.2680042337870523,0.5874260671224385
2001-02-01 00:00:00+08:00,-0.006467706325226071,0.00010888249815491617,0.010434677673743266,0.9895294624909412,1.0069917951252363,0.017462332634295086,0.6832902979187849
2001-02-02 00:00:00+08:00,0.025334392544088112,0.00010740759884325706,0.010363763739262732,0.9678728776883968,0.7961143916421285,-0.1717584860462683,0.5615477119927668
2001-02-05 00:00:00+08:00,-0.019503709048239424,0.00011205165207907203,0.010585445294321445,0.8650740794978435,1.428095576129711,0.5630214966318674,0.9066216336204413
2001-02-06 00:00:00+08:00,-0.014151218647261883,0.00011407163769792693,0.010680432467738699,1.0855935927407345,1.4424881689816187,0.35689457624088416,0.8771630508538625
2001-02-07 00:00:00+08:00,-0.026941604689023454,0.00011416645989097788,0.01068487060712379,1.2069744618709486,2.0500577748914175,0.8430833130204689,0.9925175921080327
2001-02-08 00:00:00+08:00,0.011355134125820607,0.00011975150209071196,0.010943102946180849,1.5339502301934744,1.029661340021065,-0.5042888901724094,0.6262212553077049
2001-02-09 00:00:00+08:00,0.008858553886787844,0.00011889933086311863,0.010904096976050728,1.2619584011601312,0.8428175524831204,-0.41914084867701085,0.5554784845328886
2001-02-12 00:00:00+08:00,0.006387591534040282,0.0001175507208619565,0.010842081020816829,1.0388831534756535,0.6958429570853357,-0.3430401963903178,0.49084799704916027
2001-02-13 00:00:00+08:00,0.030390035346446055,0.00011584765652789518,0.010763254922554569,0.8586456773288098,0.8786772457017807,0.02003156837297093,0.6251499659844998
2001-02-14 00:00:00+08:00,-0.023468592696965537,0.0001232260661396863,0.01110072367639544,0.8438657933457193,1.5222483877181086,0.6783825943723892,0.9347429094730183
2001-02-15 00:00:00+08:00,0.0361215899451127,0.0001268092986469944,0.011260963486620245,1.1153697107531615,1.1967117159970055,0.08134200524384405,0.7598343195470445
2001-02-16 00:00:00+08:00,-0.009641393852814142,0.00013790089425983067,0.011743121146434225,1.1158880811068004,1.2356276817270893,0.11973960062028888,0.7751008972833882
2001-02-19 00:00:00+08:00,-0.018087850504405124,0.00013640570798988894,0.011679285422913892,1.1330428673940298,1.5972054728356078,0.46416260544157795,0.9133062450807835
2001-02-20 00:00:00+08:00,0.005708565534605742,0.00013739744296726022,0.011721665537254516,1.298874299861866,0.9471021736133087,-0.35177212624855736,0.608248606011958
2001-02-21 00:00:00+08:00,-0.0035785171416485824,0.0001352276029462565,0.011628740385194628,1.1034025640205392,1.0033420553707437,-0.10006050864979543,0.6610033747271379
2001-02-22 00:00:00+08:00,-0.032613587342129574,0.00013293079325841072,0.011529561711462006,1.0257442156824217,2.012788111325751,0.9870438956433292,0.9921548582128231
2001-02-23 00:00:00+08:00,-0.005591099641015598,0.00014167233100884977,0.01190261866182605,1.4231573854684214,1.4051711665043911,-0.0179862189640303,0.807248511111251
2001-02-26 00:00:00+08:00,-0.0019068872601586196,0.0001394495891199041,0.01180887755546242,1.367031068737689,1.216833592357864,-0.15019747637982506,0.7338336396909693
2001-02-27 00:00:00+08:00,-0.007256868781762644,0.00013696961042848445,0.011703401660563668,1.2560142802080227,1.2965744831374717,0.04056020292944895,0.7840250166937468
2001-03-01 00:00:00+08:00,-0.031293366939978036,0.00013506599249241808,0.01162178955636429,1.2326472826844264,2.1807927949291748,0.9481455122447484,0.9943465707573309
2001-03-02 00:00:00+08:00,-5.815329378568047e-05,0.00014288739401438006,0.011953551523057073,1.6040752731355108,1.3918035374991327,-0.21227173563637813,0.7805991454487687
2001-03-05 00:00:00+08:00,0.019839956859485138,0.00014029608309493912,0.011844664752323686,1.4556912570637408,0.9729965175521719,-0.48269473951156894,0.6054496277157233
2001-03-06 00:00:00+08:00,0.004503411478283157,0.00014175418358365155,0.011906056592493231,1.1965135591494893,0.8848070814612378,-0.31170647768825155,0.5851452462632936
2001-03-07 00:00:00+08:00,0.02489922000673743,0.0001393771832677277,0.011805811419285321,1.0229310780427243,0.761670809627144,-0.26126026841558037,0.5321758640189811
2001-03-08 00:00:00+08:00,-0.01150932053655043,0.00014317743767072326,0.01196567748481979,0.8788770322436669,1.0308230556966849,0.151946023453018,0.7042567648747263
2001-03-09 00:00:00+08:00,-0.005370704013971466,0.0001419963971564504,0.011916224114896899,0.920439083473899,0.867346020721734,-0.05309306275216508,0.606329854228854
2001-03-12 00:00:00+08:00,-0.017359813266732235,0.00013974151087375875,0.011821231360300785,0.8712128568408939,1.2618156514560128,0.39060279461511893,0.8224995073359861
2001-03-13 00:00:00+08:00,0.004954793269130359,0.00014039859373113806,0.01184899125373709,1.016656288550783,0.7220845302645268,-0.29457175828625626,0.5087381786078047
2001-03-14 00:00:00+08:00,0.008485618281537887,0.00013809031184426357,0.011751183423139288,0.8584259117000741,0.5598663201814766,-0.29855959151859746,0.4190405461296596
2001-03-15 00:00:00+08:00,0.014828889314905285,0.00013630451669886784,0.011674952535186935,0.7054312785066009,0.4501263459480528,-0.25530493255854814,0.3545398099702892
2001-03-16 00:00:00+08:00,0.007146955751166948,0.00013606026001013397,0.011664487130179962,0.5779385877578019,0.3659450222866551,-0.21199356547114684,0.30060948886598715
2001-03-19 00:00:00+08:00,-0.02486429893177997,0.00013410224402968905,0.01158025233013897,0.47484974916945544,1.074294549395104,0.5994448002256485,0.8024435380070547
2001-03-20 00:00:00+08:00,0.00014356963197231353,0.0001381787949571378,0.011754947679897933,0.7283511082949072,0.5516364881605029,-0.1767146201344043,0.4246443530011701
2001-03-21 00:00:00+08:00,-0.003422718551600792,0.00013567806831575661,0.011648092904667125,0.6339467056254082,0.5305072531267954,-0.10343945249861286,0.41843126758407256
2001-03-22 00:00:00+08:00,0.018941423997449906,0.00013336063818398654,0.011548187657982812,0.575489619299043,0.39748827922428853,-0.17800134007475443,0.3248870656202142
2001-03-23 00:00:00+08:00,0.012071330821753093,0.00013459567259550348,0.011601537509981316,0.4872565101019419,0.30200992254815934,-0.18524658755378254,0.255924924077797
2001-03-26 00:00:00+08:00,0.01637559755669971,0.0001336270109471257,0.011559715002850447,0.3997643286852355,0.2648884057763128,-0.1348759229089227,0.23036955069233545
2001-03-27 00:00:00+08:00,-0.0020355082270367996,0.0001339284242285722,0.011572744887388306,0.3379777800114098,0.2504188970193741,-0.08755888299203574,0.2214439588177861
2001-03-28 00:00:00+08:00,-0.011097397015847374,0.00013156111357620352,0.011470009310205616,0.299440353026833,0.3415810412253566,0.042140688198523624,0.30096999100244193
2001-03-29 00:00:00+08:00,0.0024867408770834643,0.00013050700837696376,0.011423966403003983,0.31887113669995065,0.20508223490597247,-0.11378890179397819,0.1835765524446017
2001-03-30 00:00:00+08:00,-0.0061829231176554564,0.00012820962562370796,0.011322968940331328,0.26979466364520355,0.233570554849182,-0.03622410879602156,0.21061713059530074
2001-04-02 00:00:00+08:00,-0.03335328379373022,0.00012632203897637248,0.011239307762330049,0.25653109994265816,1.0970597402619924,0.8405286403193342,0.8772389836510619
